Step 500: {'loss': 2.0758, 'grad_norm': 23.83847427368164, 'learning_rate': 3.897777777777778e-05, 'epoch': 0.2222222222222222}
Step 6500: {'loss': 1.6117, 'grad_norm': 6.814898490905762, 'learning_rate': 4.037777777777778e-05, 'epoch': 0.5777777777777777}
Step 7000: {'loss': 1.5962, 'grad_norm': 11.544855117797852, 'learning_rate': 3.9638518518518516e-05, 'epoch': 0.6222222222222222}
Step 7500: {'loss': 1.6089, 'grad_norm': 6.943668842315674, 'learning_rate': 3.8897777777777774e-05, 'epoch': 0.6666666666666666}
Step 8000: {'loss': 1.5845, 'grad_norm': 12.458205223083496, 'learning_rate': 3.815703703703704e-05, 'epoch': 0.7111111111111111}
Step 8500: {'loss': 1.5887, 'grad_norm': 8.125927925109863, 'learning_rate': 3.74162962962963e-05, 'epoch': 0.7555555555555555}
Step 9000: {'loss': 1.5795, 'grad_norm': 8.558561325073242, 'learning_rate': 3.667703703703704e-05, 'epoch': 0.8}
Step 9500: {'loss': 1.5585, 'grad_norm': 8.247987747192383, 'learning_rate': 3.59362962962963e-05, 'epoch': 0.8444444444444444}
Step 10000: {'loss': 1.559, 'grad_norm': 8.908944129943848, 'learning_rate': 3.519555555555556e-05, 'epoch': 0.8888888888888888}
Step 10500: {'loss': 1.5548, 'grad_norm': 12.393251419067383, 'learning_rate': 3.4454814814814815e-05, 'epoch': 0.9333333333333333}
Step 11000: {'loss': 1.5325, 'grad_norm': 6.642855644226074, 'learning_rate': 3.371407407407407e-05, 'epoch': 0.9777777777777777}
Step 11500: {'loss': 1.5186, 'grad_norm': 11.559700965881348, 'learning_rate': 3.2974814814814816e-05, 'epoch': 1.0222222222222221}
Step 12000: {'loss': 1.5112, 'grad_norm': 8.218401908874512, 'learning_rate': 3.223407407407408e-05, 'epoch': 1.0666666666666667}
Step 12500: {'loss': 1.4994, 'grad_norm': 8.74992847442627, 'learning_rate': 3.149333333333334e-05, 'epoch': 1.1111111111111112}
Step 13000: {'loss': 1.4948, 'grad_norm': 7.742073059082031, 'learning_rate': 3.07525925925926e-05, 'epoch': 1.1555555555555554}
Step 13500: {'loss': 1.483, 'grad_norm': 8.690921783447266, 'learning_rate': 3.0013333333333333e-05, 'epoch': 1.2}
Step 14000: {'loss': 1.4765, 'grad_norm': 9.457795143127441, 'learning_rate': 2.9272592592592595e-05, 'epoch': 1.2444444444444445}
Step 14500: {'loss': 1.4762, 'grad_norm': 8.01525592803955, 'learning_rate': 2.8531851851851853e-05, 'epoch': 1.2888888888888888}
Step 15000: {'loss': 1.4883, 'grad_norm': 8.013822555541992, 'learning_rate': 2.779111111111111e-05, 'epoch': 1.3333333333333333}
Step 15500: {'loss': 1.4766, 'grad_norm': 8.51690673828125, 'learning_rate': 2.705037037037037e-05, 'epoch': 1.3777777777777778}
Step 16000: {'loss': 1.4624, 'grad_norm': 10.140066146850586, 'learning_rate': 2.6311111111111115e-05, 'epoch': 1.4222222222222223}
Step 16500: {'loss': 1.4924, 'grad_norm': 7.549137115478516, 'learning_rate': 2.5570370370370374e-05, 'epoch': 1.4666666666666668}
Step 17000: {'loss': 1.4777, 'grad_norm': 6.956478118896484, 'learning_rate': 2.4829629629629632e-05, 'epoch': 1.511111111111111}
Step 17500: {'loss': 1.468, 'grad_norm': 9.183493614196777, 'learning_rate': 2.408888888888889e-05, 'epoch': 1.5555555555555556}
Step 18000: {'loss': 1.4583, 'grad_norm': inf, 'learning_rate': 2.334962962962963e-05, 'epoch': 1.6}
Step 18500: {'loss': 1.4619, 'grad_norm': 9.846075057983398, 'learning_rate': 2.260888888888889e-05, 'epoch': 1.6444444444444444}
Step 19000: {'loss': 1.4763, 'grad_norm': 7.5384368896484375, 'learning_rate': 2.186814814814815e-05, 'epoch': 1.6888888888888889}
Step 19500: {'loss': 1.4609, 'grad_norm': 9.080018997192383, 'learning_rate': 2.112888888888889e-05, 'epoch': 1.7333333333333334}
Step 20000: {'loss': 1.4609, 'grad_norm': 11.327052116394043, 'learning_rate': 2.0388148148148146e-05, 'epoch': 1.7777777777777777}
Step 20500: {'loss': 1.4596, 'grad_norm': 7.296541690826416, 'learning_rate': 1.9647407407407408e-05, 'epoch': 1.8222222222222222}
Step 21000: {'loss': 1.4626, 'grad_norm': 9.469728469848633, 'learning_rate': 1.8906666666666666e-05, 'epoch': 1.8666666666666667}
Step 21500: {'loss': 1.4433, 'grad_norm': 8.128583908081055, 'learning_rate': 1.8165925925925928e-05, 'epoch': 1.911111111111111}
Step 22000: {'loss': 1.4681, 'grad_norm': 8.093542098999023, 'learning_rate': 1.7425185185185186e-05, 'epoch': 1.9555555555555557}
Step 22500: {'loss': 1.4517, 'grad_norm': 7.869649887084961, 'learning_rate': 1.6684444444444445e-05, 'epoch': 2.0}
Step 23000: {'loss': 1.4037, 'grad_norm': 10.255434036254883, 'learning_rate': 1.5943703703703706e-05, 'epoch': 2.0444444444444443}
Step 23500: {'loss': 1.4195, 'grad_norm': 10.087589263916016, 'learning_rate': 1.5204444444444445e-05, 'epoch': 2.088888888888889}
Step 24000: {'loss': 1.4011, 'grad_norm': 10.717789649963379, 'learning_rate': 1.4463703703703704e-05, 'epoch': 2.1333333333333333}
Step 24500: {'loss': 1.4209, 'grad_norm': 8.290473937988281, 'learning_rate': 1.3722962962962962e-05, 'epoch': 2.1777777777777776}
Step 25000: {'loss': 1.3997, 'grad_norm': 8.659655570983887, 'learning_rate': 1.2982222222222224e-05, 'epoch': 2.2222222222222223}
Step 25500: {'loss': 1.4202, 'grad_norm': 7.464287281036377, 'learning_rate': 1.2241481481481482e-05, 'epoch': 2.2666666666666666}
Step 26000: {'loss': 1.4058, 'grad_norm': 10.73477554321289, 'learning_rate': 1.1502222222222223e-05, 'epoch': 2.311111111111111}
Step 26500: {'loss': 1.401, 'grad_norm': 9.128948211669922, 'learning_rate': 1.0761481481481483e-05, 'epoch': 2.3555555555555556}
Step 27000: {'loss': 1.4053, 'grad_norm': 9.344803810119629, 'learning_rate': 1.0020740740740741e-05, 'epoch': 2.4}
Step 27500: {'loss': 1.4026, 'grad_norm': 8.68384075164795, 'learning_rate': 9.28e-06, 'epoch': 2.4444444444444446}
Step 28000: {'loss': 1.4086, 'grad_norm': 8.761444091796875, 'learning_rate': 8.53925925925926e-06, 'epoch': 2.488888888888889}
Step 28500: {'loss': 1.4003, 'grad_norm': 8.938729286193848, 'learning_rate': 7.8e-06, 'epoch': 2.533333333333333}
Step 29000: {'loss': 1.3989, 'grad_norm': 10.211456298828125, 'learning_rate': 7.05925925925926e-06, 'epoch': 2.5777777777777775}
Step 29500: {'loss': 1.4052, 'grad_norm': 8.243492126464844, 'learning_rate': 6.318518518518519e-06, 'epoch': 2.6222222222222222}
Step 30000: {'loss': 1.4131, 'grad_norm': 11.806243896484375, 'learning_rate': 5.577777777777778e-06, 'epoch': 2.6666666666666665}
Step 30500: {'loss': 1.3981, 'grad_norm': 9.271256446838379, 'learning_rate': 4.838518518518519e-06, 'epoch': 2.7111111111111112}
Step 31000: {'loss': 1.416, 'grad_norm': 10.168973922729492, 'learning_rate': 4.097777777777778e-06, 'epoch': 2.7555555555555555}
Step 31500: {'loss': 1.4053, 'grad_norm': 9.358492851257324, 'learning_rate': 3.357037037037037e-06, 'epoch': 2.8}
Step 32000: {'loss': 1.3999, 'grad_norm': 8.237030029296875, 'learning_rate': 2.6162962962962967e-06, 'epoch': 2.8444444444444446}
Step 32500: {'loss': 1.3945, 'grad_norm': 8.614872932434082, 'learning_rate': 1.8770370370370371e-06, 'epoch': 2.888888888888889}
Step 33000: {'loss': 1.3956, 'grad_norm': 8.053933143615723, 'learning_rate': 1.1362962962962965e-06, 'epoch': 2.9333333333333336}
Step 33500: {'loss': 1.3833, 'grad_norm': 8.207995414733887, 'learning_rate': 3.955555555555556e-07, 'epoch': 2.977777777777778}
Step 33750: {'train_runtime': 9625.3114, 'train_samples_per_second': 14.026, 'train_steps_per_second': 3.506, 'total_flos': 2.5482000698496e+16, 'train_loss': 1.5148263192635996, 'epoch': 3.0}
Step 500: {'loss': 2.2025, 'grad_norm': 21.229164123535156, 'learning_rate': 9.911822222222223e-06, 'epoch': 0.044444444444444446}
Step 1000: {'loss': 2.0273, 'grad_norm': 19.486173629760742, 'learning_rate': 9.822933333333334e-06, 'epoch': 0.08888888888888889}
Step 1500: {'loss': 1.9472, 'grad_norm': 18.38562774658203, 'learning_rate': 9.734044444444444e-06, 'epoch': 0.13333333333333333}
Step 2000: {'loss': 1.9213, 'grad_norm': 13.413763046264648, 'learning_rate': 9.645155555555556e-06, 'epoch': 0.17777777777777778}
Step 2500: {'loss': 1.8818, 'grad_norm': 17.207075119018555, 'learning_rate': 9.556266666666667e-06, 'epoch': 0.2222222222222222}
Step 3000: {'loss': 1.8502, 'grad_norm': 15.64237117767334, 'learning_rate': 9.467555555555557e-06, 'epoch': 0.26666666666666666}
Step 3500: {'loss': 1.8296, 'grad_norm': 16.456501007080078, 'learning_rate': 9.378666666666667e-06, 'epoch': 0.3111111111111111}
Step 4000: {'loss': 1.8223, 'grad_norm': 16.77545166015625, 'learning_rate': 9.28977777777778e-06, 'epoch': 0.35555555555555557}
Step 4500: {'loss': 1.8023, 'grad_norm': 18.82173728942871, 'learning_rate': 9.20088888888889e-06, 'epoch': 0.4}
Step 5000: {'loss': 1.7979, 'grad_norm': 11.586014747619629, 'learning_rate': 9.112e-06, 'epoch': 0.4444444444444444}
Step 5500: {'loss': 1.7798, 'grad_norm': 11.529667854309082, 'learning_rate': 9.02311111111111e-06, 'epoch': 0.4888888888888889}
Step 6000: {'loss': 1.767, 'grad_norm': 11.739168167114258, 'learning_rate': 8.934222222222223e-06, 'epoch': 0.5333333333333333}
Step 6500: {'loss': 1.7725, 'grad_norm': 12.549696922302246, 'learning_rate': 8.845333333333333e-06, 'epoch': 0.5777777777777777}
Step 7000: {'loss': 1.7567, 'grad_norm': 11.809123039245605, 'learning_rate': 8.756622222222223e-06, 'epoch': 0.6222222222222222}
Step 7500: {'loss': 1.7481, 'grad_norm': 10.575901985168457, 'learning_rate': 8.667733333333333e-06, 'epoch': 0.6666666666666666}
Step 8000: {'loss': 1.7334, 'grad_norm': 11.106318473815918, 'learning_rate': 8.578844444444446e-06, 'epoch': 0.7111111111111111}
Step 8500: {'loss': 1.742, 'grad_norm': 9.542976379394531, 'learning_rate': 8.489955555555556e-06, 'epoch': 0.7555555555555555}
Step 9000: {'loss': 1.7498, 'grad_norm': 9.84304428100586, 'learning_rate': 8.401244444444446e-06, 'epoch': 0.8}
Step 9500: {'loss': 1.7105, 'grad_norm': 9.920923233032227, 'learning_rate': 8.312355555555556e-06, 'epoch': 0.8444444444444444}
Step 10000: {'loss': 1.7236, 'grad_norm': 9.925490379333496, 'learning_rate': 8.223466666666667e-06, 'epoch': 0.8888888888888888}
Step 10500: {'loss': 1.7059, 'grad_norm': 7.947761535644531, 'learning_rate': 8.134577777777777e-06, 'epoch': 0.9333333333333333}
Step 11000: {'loss': 1.6924, 'grad_norm': 9.833102226257324, 'learning_rate': 8.045866666666667e-06, 'epoch': 0.9777777777777777}
Step 11500: {'loss': 1.704, 'grad_norm': 9.690666198730469, 'learning_rate': 7.956977777777777e-06, 'epoch': 1.0222222222222221}
Step 12000: {'loss': 1.6625, 'grad_norm': 11.794687271118164, 'learning_rate': 7.86808888888889e-06, 'epoch': 1.0666666666666667}
Step 12500: {'loss': 1.6582, 'grad_norm': 11.947836875915527, 'learning_rate': 7.7792e-06, 'epoch': 1.1111111111111112}
Step 13000: {'loss': 1.6504, 'grad_norm': 10.273759841918945, 'learning_rate': 7.69048888888889e-06, 'epoch': 1.1555555555555554}
Step 13500: {'loss': 1.6499, 'grad_norm': 8.157757759094238, 'learning_rate': 7.6016e-06, 'epoch': 1.2}
Step 14000: {'loss': 1.6559, 'grad_norm': 6.891366958618164, 'learning_rate': 7.5127111111111115e-06, 'epoch': 1.2444444444444445}
Step 14500: {'loss': 1.6738, 'grad_norm': 8.408618927001953, 'learning_rate': 7.423822222222224e-06, 'epoch': 1.2888888888888888}
Step 15000: {'loss': 1.652, 'grad_norm': 11.26991081237793, 'learning_rate': 7.335111111111112e-06, 'epoch': 1.3333333333333333}
Step 15500: {'loss': 1.6543, 'grad_norm': 8.261808395385742, 'learning_rate': 7.246222222222222e-06, 'epoch': 1.3777777777777778}
Step 16000: {'loss': 1.6409, 'grad_norm': 8.286911964416504, 'learning_rate': 7.157333333333334e-06, 'epoch': 1.4222222222222223}
Step 16500: {'loss': 1.6512, 'grad_norm': 8.122204780578613, 'learning_rate': 7.068444444444446e-06, 'epoch': 1.4666666666666668}
Step 17000: {'loss': 1.6547, 'grad_norm': 8.405709266662598, 'learning_rate': 6.979733333333334e-06, 'epoch': 1.511111111111111}
Step 17500: {'loss': 1.6502, 'grad_norm': 9.784050941467285, 'learning_rate': 6.890844444444446e-06, 'epoch': 1.5555555555555556}
Step 18000: {'loss': 1.6363, 'grad_norm': 9.391106605529785, 'learning_rate': 6.801955555555556e-06, 'epoch': 1.6}
Step 18500: {'loss': 1.6482, 'grad_norm': 8.497251510620117, 'learning_rate': 6.713066666666668e-06, 'epoch': 1.6444444444444444}
Step 19000: {'loss': 1.6251, 'grad_norm': 10.097593307495117, 'learning_rate': 6.624177777777778e-06, 'epoch': 1.6888888888888889}
Step 19500: {'loss': 1.6259, 'grad_norm': 11.387328147888184, 'learning_rate': 6.535466666666668e-06, 'epoch': 1.7333333333333334}
Step 20000: {'loss': 1.6305, 'grad_norm': 9.60416030883789, 'learning_rate': 6.446577777777778e-06, 'epoch': 1.7777777777777777}
Step 20500: {'loss': 1.6204, 'grad_norm': 7.186903476715088, 'learning_rate': 6.3576888888888896e-06, 'epoch': 1.8222222222222222}
Step 21000: {'loss': 1.6039, 'grad_norm': 7.939542770385742, 'learning_rate': 6.2688e-06, 'epoch': 1.8666666666666667}
Step 21500: {'loss': 1.6217, 'grad_norm': 9.203922271728516, 'learning_rate': 6.18008888888889e-06, 'epoch': 1.911111111111111}
Step 22000: {'loss': 1.6124, 'grad_norm': 12.40890884399414, 'learning_rate': 6.0912e-06, 'epoch': 1.9555555555555557}
Step 22500: {'loss': 1.6115, 'grad_norm': 7.900426387786865, 'learning_rate': 6.002311111111112e-06, 'epoch': 2.0}
Step 23000: {'loss': 1.5936, 'grad_norm': 8.006888389587402, 'learning_rate': 5.913422222222223e-06, 'epoch': 2.0444444444444443}
Step 23500: {'loss': 1.5997, 'grad_norm': 7.2179155349731445, 'learning_rate': 5.824533333333334e-06, 'epoch': 2.088888888888889}
Step 24000: {'loss': 1.6104, 'grad_norm': 9.299473762512207, 'learning_rate': 5.735822222222223e-06, 'epoch': 2.1333333333333333}
Step 24500: {'loss': 1.5809, 'grad_norm': 10.118560791015625, 'learning_rate': 5.646933333333334e-06, 'epoch': 2.1777777777777776}
Step 25000: {'loss': 1.5868, 'grad_norm': 9.942992210388184, 'learning_rate': 5.558044444444445e-06, 'epoch': 2.2222222222222223}
Step 25500: {'loss': 1.5939, 'grad_norm': 10.11740779876709, 'learning_rate': 5.469155555555556e-06, 'epoch': 2.2666666666666666}
Step 26000: {'loss': 1.5814, 'grad_norm': 8.359234809875488, 'learning_rate': 5.3802666666666666e-06, 'epoch': 2.311111111111111}
Step 26500: {'loss': 1.5887, 'grad_norm': 6.906927108764648, 'learning_rate': 5.291555555555556e-06, 'epoch': 2.3555555555555556}
Step 27000: {'loss': 1.5875, 'grad_norm': 7.50798225402832, 'learning_rate': 5.202666666666667e-06, 'epoch': 2.4}
Step 27500: {'loss': 1.5833, 'grad_norm': 7.29223108291626, 'learning_rate': 5.113777777777779e-06, 'epoch': 2.4444444444444446}
Step 28000: {'loss': 1.5884, 'grad_norm': 6.21547794342041, 'learning_rate': 5.024888888888889e-06, 'epoch': 2.488888888888889}
Step 28500: {'loss': 1.5716, 'grad_norm': 6.435062408447266, 'learning_rate': 4.936177777777778e-06, 'epoch': 2.533333333333333}
Step 29000: {'loss': 1.5932, 'grad_norm': 7.407968521118164, 'learning_rate': 4.847288888888889e-06, 'epoch': 2.5777777777777775}
Step 29500: {'loss': 1.589, 'grad_norm': 8.755285263061523, 'learning_rate': 4.7584e-06, 'epoch': 2.6222222222222222}
Step 30000: {'loss': 1.5757, 'grad_norm': 9.095144271850586, 'learning_rate': 4.669511111111111e-06, 'epoch': 2.6666666666666665}
Step 30500: {'loss': 1.5686, 'grad_norm': 8.661087989807129, 'learning_rate': 4.580622222222223e-06, 'epoch': 2.7111111111111112}
Step 31000: {'loss': 1.5706, 'grad_norm': 8.940404891967773, 'learning_rate': 4.491733333333333e-06, 'epoch': 2.7555555555555555}
Step 31500: {'loss': 1.5765, 'grad_norm': 7.035806179046631, 'learning_rate': 4.402844444444444e-06, 'epoch': 2.8}
Step 32000: {'loss': 1.5681, 'grad_norm': 7.381285667419434, 'learning_rate': 4.314133333333333e-06, 'epoch': 2.8444444444444446}
Step 32500: {'loss': 1.5637, 'grad_norm': 8.864272117614746, 'learning_rate': 4.225244444444445e-06, 'epoch': 2.888888888888889}
Step 33000: {'loss': 1.5891, 'grad_norm': 6.682323932647705, 'learning_rate': 4.136355555555556e-06, 'epoch': 2.9333333333333336}
Step 33500: {'loss': 1.5861, 'grad_norm': 7.037337779998779, 'learning_rate': 4.047466666666666e-06, 'epoch': 2.977777777777778}
Step 34000: {'loss': 1.5634, 'grad_norm': 7.447547912597656, 'learning_rate': 3.958755555555555e-06, 'epoch': 3.022222222222222}
Step 34500: {'loss': 1.559, 'grad_norm': 8.971569061279297, 'learning_rate': 3.869866666666667e-06, 'epoch': 3.066666666666667}
Step 35000: {'loss': 1.559, 'grad_norm': 6.182006359100342, 'learning_rate': 3.780977777777778e-06, 'epoch': 3.111111111111111}
Step 35500: {'loss': 1.5689, 'grad_norm': 7.3606767654418945, 'learning_rate': 3.6920888888888888e-06, 'epoch': 3.1555555555555554}
