input_ingredients,top_k,top_p,temperature,recipe
"chicken, garlic, onion, spices",50,0.8,0.8,"chicken, garlic, onion, spices and mushrooms"", ""2 Tbsp. flour"", ""1 1/2 Tbsp. salt"", ""1 Tbsp. pepper"", ""1 Tbsp. paprika"", ""1 tsp. paprika"", ""1 tsp. salt"", ""1 tsp. pepper"", ""1/2 tsp. paprika"", ""1/2 tsp. dry mustard"", ""1/4 c. vinegar"", ""1/4 c. sugar""] [""Mix all ingredients."", ""Bake at 350\u00b0 for 1 hour.""] [""Cook in covered pan.""] [""Mix ingredients together."", ""Pour over chicken and bake for 1 hour.""] [""Bake until tender.""] [""Bake 15 minutes longer.""] [""Serves 4.""] Contains 1 1/2 pounds fat.""] [""Cut into 1-inch squares.""] [""Serves 4.""] Contains 0 calories.""] [""Can substitute chicken for turkey or beef.""]"
"chicken, garlic, onion, spices",50,0.8,1.0,"chicken, garlic, onion, spices and all"", ""1/2 c. chopped parsley"", ""1 c. shredded cheese"", ""1/2 tsp. paprika"", ""1 tsp. garlic salt"", ""1/2 tsp. onion salt"", ""1/4 tsp. thyme"", ""1/2 tsp. black pepper"", ""2 Tbsp. vinegar"", ""1 Tbsp. butter or margarine"", ""1 Tbsp. cornstarch"", ""1/4 c. water""] [""In saucepan combine chicken, garlic, onion, parsley, cheese, paprika, garlic salt and thyme."", ""Heat to boiling."", ""Add spices, salt and pepper."", ""Bring to a boil."", ""Add vinegar and water."", ""Reduce heat to low and simmer for 10 minutes."", ""Remove from heat."", ""Stir in butter."", ""Cook for 15 minutes longer or until thickened."", ""Serve with cornstarch.""] [""Cook"
"chicken, garlic, onion, spices",50,0.9,0.7,"chicken, garlic, onion, spices and pepper to taste"", ""1 pkg. Pepperidge Farm stuffing mix"", ""1 c. chicken broth"", ""1 c. Cheddar cheese, grated"", ""1 c. Bisquick mix""] [""Mix chicken, garlic, onion, spices and pepper."", ""Spread stuffing mix on top."", ""Bake at 350\u00b0 for 20 minutes."", ""Bake at 350\u00b0 for 30 minutes.""] [""Mix chicken, garlic, onion and bouillon mixture; spread on top of chicken. Bake 20 minutes or until heated through.""] [""Mix Bisquick mix and pour over chicken."", ""Bake for 20 minutes at 350\u00b0."", ""Serve hot.""] [""Makes 4 to 6 servings.""] [""Bake at 350\u00b0 for 20 minutes.""] [""Bake 20 minutes longer."", ""Serves 8 to 10.""] [""Can be prepared ahead and"
"chicken, garlic, onion, spices",50,0.9,0.8,"chicken, garlic, onion, spices and chicken seasoning"", ""2 c. chicken stock"", ""1 c. chopped celery"", ""1 c. chopped onions"", ""1 c. diced celery"", ""1 c. chopped sweet pickles"", ""1 c. chopped green peppers"", ""1 c. chopped tomatoes"", ""1/4 c. oil""] [""Place chicken, garlic, onion, spices and chicken stock in a large pot."", ""Add chicken and bring to a boil."", ""Cover and simmer for 1 1/2 hours, stirring occasionally."", ""Add celery, onions, pickles, tomatoes, pickles and pepper; bring to a boil."", ""Reduce heat and simmer until vegetables are tender, about 1 hour."", ""Serve over noodles, rice, etc.""] [""Makes 6 servings.""] [""Makes about 5 cups.""]The original recipe for this recipe may be used for a future recipe.""] Preparation time:"", ""10 minutes"
"chicken, garlic, onion, spices",50,0.9,1.0,"chicken, garlic, onion, spices and onions"", ""1 qt. water"", ""3 qt. water"", ""3 lb. stew meat"", ""2 cans tomato soup"", ""1 can tomato paste"", ""1 can tomato paste"", ""1 pkg. noodles""] [""In large pot, add the last five ingredients to cover all the pot water."", ""Simmer for 30 to 45 minutes. (You can also add a can of milk.)"", ""Salt and pepper to taste."", ""Serves 4 people.""] [""Cook noodles and add to meat mixture."", ""Add additional spices and onion to suit taste.""] [""Mix in the same pot with the remaining ingredients and bring to a boil."", ""Cook 30 minutes.""] [""Bake for 1 hour at 325\u00b0."", ""Baste often."", ""Makes 6 to 8 servings.""] [""Cook for 3 hours on low.""] [""Serves 4 people.""] [""Cook noodles and add a"
"chicken, garlic, onion, spices",50,0.95,0.7,"chicken, garlic, onion, spices, etc."", ""1 can cream of chicken soup"", ""1 can water"", ""1 can cream of celery soup"", ""1 can whole kernel corn, drained"", ""1 can whole kernel corn, drained"", ""1 can French fried onions""] [""Mix all ingredients together and bake in greased casserole."", ""Bake at 350\u00b0 for 1 hour."", ""Serves 6 to 8.""] [""Bake 1 hour at 350\u00b0."", ""Serves 6 to 8.""] [""Use this as a main dish or a top for your favorite biscuits.""] ""Can be made ahead of time and frozen.""] [""Prepare ahead and freeze before baking.""] ""Bake at 350\u00b0 for 1 hour.""] ""Great for a snack!""] [""Bake at 350\u00b0 for 1 hour.""] ""Can be frozen for later.""] ""Great"
"chicken, garlic, onion, spices",50,0.95,0.8,"chicken, garlic, onion, spices, salt, pepper, celery seed and paprika"", ""1 can cream of chicken soup"", ""1 can mushroom soup"", ""1/2 c. water""] [""Mix all together."", ""Bake at 350\u00b0 for 1 hour.""] [""Bake chicken and roll up and serve with rice.""] [""Bake at 350\u00b0 for about 1 1/2 hours.""] [""Bake at 325\u00b0 for 1 hour.""] [""Serves 6 to 8.""] ""Can be made ahead and frozen.""] [""Thaw soup and water before baking.""] [""Mix soup and mushroom soup together."", ""Bake at 350\u00b0 for 30 minutes or longer.""] ""May be frozen."", ""This can be eaten up to 24 hours before baking.""] [""Serves 6 to 8.""] ""Can be served in microwave or using small plate.""] """
"chicken, garlic, onion, spices",50,0.95,1.0,"chicken, garlic, onion, spices and pepper"", ""butter or margarine"", ""2 c. cooked chicken"", ""salt and pepper"", ""1/2 c. diced cooked turkey"", ""1/2 c. grated cheese (or 2 slices)""] [""Add chicken pieces to butter, and heat until melted, add onion."", ""Salt and pepper to taste."", ""Place chicken in crock-pot and add next 6 ingredients."", ""Cook until chicken is tender, but easy and delicious."", ""Makes about 3/4 cup.""] [""Place cooked chicken on top of chicken in pot; let chicken cook on low heat for about 3 hours."", ""Add cheese to taste.""] ""Serve on platter.""] [""This is best served with chicken.""] [""This is good for 6 to 8 people.""] Yields about 6 to 8 servings.""] Recipe is a complete cook and serve with potato, ham, etc."", it would make about 50"
"chicken, garlic, onion, spices",100,0.8,0.7,"chicken, garlic, onion, spices and celery"", ""1 can mushroom soup"", ""1 can chicken soup"", ""1/2 can milk"", ""1 can mushrooms"", ""1/2 c. chicken broth"", ""1/2 c. chicken broth"", ""1/2 c. chopped celery"", ""1/2 c. chopped onion"", ""1/2 c. chopped green pepper"", ""1/2 c. chopped celery""] [""Mix all ingredients and bake at 350\u00b0 for 30 minutes.""] [""Bake in casserole dish and bake at 350\u00b0 for 30 minutes.""] [""Combine soup and milk in a large saucepan."", ""Heat over low heat until hot."", ""Add chicken broth, celery, green pepper, onion, celery and onion."", ""Stir and cook until vegetables are tender."", ""Serve with rice.""] [""Makes 6 to 8 servings.""] [""Prepare"
"chicken, garlic, onion, spices",100,0.8,0.8,"chicken, garlic, onion, spices, garlic"", ""1/2 c. soy sauce"", ""1/2 c. brown sugar"", ""1/4 c. soy sauce"", ""1/2 c. honey"", ""1/2 c. corn oil"", ""2 Tbsp. vinegar"", ""2 Tbsp. brown sugar"", ""1 tsp. Worcestershire sauce"", ""1 tsp. pepper"", ""1/2 tsp. garlic powder"", ""1 tsp. salt"", ""1/4 tsp. cayenne pepper"", ""2 tsp. sesame oil"", ""2 c. crushed corn flakes""] [""Mix all ingredients together, except corn flakes."", ""Mix all together and drop in hot oil. Boil for 10 minutes. Stir and pour in jars and seal.""] [""Boil for 1 hour.""] [""Use cornflakes to make corn flakes.""] [""Use cornflakes to marinate chicken.""] [""Place in a jar and seal"
"chicken, garlic, onion, spices",100,0.8,1.0,"chicken, garlic, onion, spices and pepper"", ""1/4 c. flour"", ""1 c. milk"", ""salt and pepper to taste""] [""Mix all together and bake at 350\u00b0 for 1 hour.""] [""Bake at 350\u00b0 for 45 minutes.""] [""Can be done in casserole or casserole dish and baked in oven.""] Can be frozen.""] ""This will bake in a little less than two hours.""] Can be served in foil pan or with a spoon.""] ""This will also be served on buns of your choice.""] [""I also use a small round can of tomato sauce (with tomato paste or vinegar added) or a jar of shrimp soup (with shrimp sauce added).""] [""I also use chili sauce.""] [""Can be frozen.""] (I add a jar of frozen mushrooms.)""] [""Can be cooked up to one week before baking.""] [""I also"
"chicken, garlic, onion, spices",100,0.9,0.7,"chicken, garlic, onion, spices and herbs"", ""2 c. water"", ""3/4 c. chicken broth"", ""1 can cream of chicken soup"", ""1/2 c. chicken broth"", ""1/2 c. water"", ""1/2 c. oil"", ""1/2 c. parsley, chopped"", ""1/2 c. chopped onion"", ""1/2 c. chopped green pepper"", ""1/2 c. chopped celery"", ""1/2 c. chopped red pepper"", ""1/2 c. chopped green pepper"", ""1 c. chopped walnuts""] [""Place chicken in pan."", ""Add water, broth, soup, water, oil, parsley, green pepper, celery, onion and green pepper."", ""Cover and cook slowly until chicken is tender."", ""Add remaining ingredients and simmer until thickened."", ""Serve over rice.""] [""Mix and serve with mushrooms.""] [""Makes 6 servings."""
"chicken, garlic, onion, spices",100,0.9,0.8,"chicken, garlic, onion, spices and garlic"", ""2 Tbsp. lemon juice"", ""1/2 c. vinegar"", ""1/2 c. mayonnaise"", ""1/4 c. sugar"", ""1/4 tsp. dry mustard"", ""1/2 tsp. salt"", ""1 tsp. pepper"", ""1/2 c. catsup""] [""Heat oven to 375\u00b0."", ""Place chicken in a baking dish and sprinkle with garlic, onions, spices, vinegar, mayonnaise, sugar, mustard and salt."", ""Pour catsup over chicken and top with garlic."", ""Bake for 20 minutes."", ""Yield:"", ""2 cups.""] [""Mix ingredients; pour over chicken."", ""Cover and bake for 20 minutes.""] [""Bake at 375\u00b0.""] [""Yields 1 1/2 cups.""] Ingredients:"", ""Chicken, chicken, chicken, chicken, chicken, chicken"
"chicken, garlic, onion, spices",100,0.9,1.0,"chicken, garlic, onion, spices and herbs""] [""Boil chicken and debone."", ""Serve with vegetables of choice.""] [""Season with salt, pepper, garlic and parsley."", ""Serve with rice or as a dressing for a party.""] [""Bake in a greased baking dish at 350\u00b0 for approximately 35 minutes."", ""Serve with cornbread.""] Makes approximately 1 1/4 cups.""] [""Makes 1 1/4 cups.""] [""Bake in oven, about 30 minutes, at 350\u00b0 for 15 minutes."", ""Cool.""] [""Remove from oven and pour over chicken."", ""Sprinkle with salt, pepper, garlic and parsley.""] [""Can be made ahead, prepared ahead and refrigerated.""] Yields about 2 1/2 cups.""] [""Can be frozen, but needs to be frozen until ready to use."", ""Makes about 2 cups.""] [""Can be"
"chicken, garlic, onion, spices",100,0.95,0.7,"chicken, garlic, onion, spices and mushrooms"", ""4 Tbsp. butter or margarine"", ""1/2 c. flour"", ""1 c. chicken broth"", ""2 c. water"", ""1 Tbsp. soy sauce"", ""1/4 tsp. pepper"", ""1/2 tsp. salt"", ""1/2 tsp. cinnamon"", ""1/2 tsp. ginger"", ""1/4 tsp. ground cloves"", ""3/4 c. flour"", ""1 c. chicken, cut in small pieces"", ""1 1/2 c. rice""] [""Combine chicken, garlic, spices and mushrooms, then cook until tender."", ""Add water, soy sauce, pepper and spices."", ""Simmer for 20 to 30 minutes."", ""Add flour mixture; stir."", ""Heat to boiling."", ""Add chicken and cook until browned."", ""Add rice."", ""Cover and let simmer for 15 minutes."", ""Stir occasionally."", ""Serve over rice."""
"chicken, garlic, onion, spices",100,0.95,0.8,"chicken, garlic, onion, spices and salt"", ""1 can water"", ""1 can tomato soup"", ""1 can chicken soup"", ""1 c. water"", ""1 1/2 c. Minute rice""] [""Boil chicken; debone."", ""Mix all ingredients together."", ""Add chicken and rice to taste."", ""Bake at 400\u00b0 for 1 hour.""] [""Bake rice.""] [""Bake 15 minutes.""] [""Bake 1 hour longer.""] [""Bake at 350\u00b0.""] [""Cut or brown chicken in thin slices.""] [""Place in 9 x 13-inch pan."", ""Bake until done.""] [""Cook rice until done."", ""Pour over rice and bake until browned.""] [""This is a great dish to add to any baking dish.""] [""Bake in oven or microwave on a slow cooker until rice is done.""] ""Can be microwaved.""] [""Cook for"
"chicken, garlic, onion, spices",100,0.95,1.0,"chicken, garlic, onion, spices, spices and herbs"", ""2 tbsp. butter"", ""2 tsp. dry mustard"", ""4 cloves"", ""2 large whole onions"", ""1/2 tsp. garlic"", ""1/2 tsp. dry mustard"", ""1 Tbsp. oil""] [""Use the fryer that is in the oven that is 100% hot."", ""Heat oil by sifting and mixing very fine."", ""Mix it as for gravy."", ""Pour 1 cup meat gravy over the browned meat in the fryer.""] [""Dip meat in melted butter and stuff lightly."", ""Cover the meat with water. Place under broiler for 20 minutes, until golden brown."", ""Serve with dumplings.""] [""The sauce will melt and serve over rice.""] [""Serve it with hot sirloin or serve in a pot."", ""Yields 2 1/2 cups.""] [""Can put half of meat in mixture and bake in a"
